name,mass,mzoffset_1,mzoffset_2,mzoffset_3,mzoffset_4,mzoffset_5,mzoffset_6,mzoffset_7,mzoffset_8,mzoffset_9,mzoffset_10,mzoffset_11,mzoffset_12,mzoffset_13,mzoffset_14,mzoffset_15,mzoffset_16,mzoffset_17,mzoffset_18,mzoffset_19,mzoffset_20,mzoffset_21,elution_1,elution_2,elution_3,elution_4,elution_5,elution_6,elution_7,elution_8,elution_9,elution_10,elution_11,elution_12,elution_13,elution_14,elution_15,elution_16,elution_17,elution_18,elution_19,elution_20,elution_21,ioncount_1,ioncount_2,ioncount_3,ioncount_4,ioncount_5,ioncount_6,ioncount_7,ioncount_8,ioncount_9,ioncount_10,ioncount_11,ioncount_12,ioncount_13,ioncount_14,ioncount_15,ioncount_16,ioncount_17,ioncount_18,ioncount_19,ioncount_20,ioncount_21,files_1,files_2,files_3,files_4,files_5,files_6,files_7
405H07,358.1448057029,0,0,0,0,-9.01421146295434e-05,0.00136130362176345,-0.000227110631328742,0,0,0,0,0.000380340502999843,-0.00256897582204374,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,22.8865,22.8969166666667,22.9286666666667,0,0,0,0,22.8865,22.8969166666667,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,38006.625,11841.7473144531,2759.21166992188,0,0,0,0,12253.9970703125,11441.2758789062,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-G1,"V256B-A1,V256B-F1",V5120
405H08,315.0789953775,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,,,,,V256A-A2,,V5120
405H09,357.0781231212,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-H1,"V256B-B1,V256B-H2",V5120
405H10,433.2001563707,0,0,0,0,-0.000118886124994333,-0.00051652466061114,NaN,0,0,0,0,-0.00202294864351416,-0.0008925449852768,-0.00485100676269212,0,0,0,0,NaN,NaN,NaN,0,0,0,0,20.093,20.0573333333333,NaN,0,0,0,0,20.093,20.0573333333333,20.0485,0,0,0,0,NaN,NaN,NaN,0,0,0,0,12771.9755859375,17397.9296875,NaN,0,0,0,0,1349.47143554688,1651.08764648438,1533.67578125,0,0,0,0,NaN,NaN,NaN,,,,,V256A-B3,V256B-E2,V5120
405H11,451.035766621555,0,0,0,0,-0.00124576136892074,5.41870637675856e-05,0.00310646900038591,0,0,0,0,-0.000738750620257633,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,19.913,19.889,19.7821666666667,0,0,0,0,19.913,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,15869.830078125,3753.24340820312,11201.1181640625,0,0,0,0,1863.95568847656,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-C2,V256B-G2,V5120
406A02,445.1637708644,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,0,0,0,NaN,NaN,0,NaN,,,,R320-A,V256A-F1,,V5120
406A03,387.1219060497,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-D3,V256B-E2,V5120
406A04,395.1481208002,0,0,0,-0.000388794116759072,0.000187008255920773,0.000793936247475813,0.00356551881736777,0,0,0,0.00108117401646268,0.00130339174938854,0.000861449375065604,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,13.3175,13.4852166666667,13.4154833333333,13.4225833333333,0,0,0,13.3175,13.4852166666667,13.4321333333333,NaN,0,0,0,NaN,NaN,NaN,NaN,0,0,0,55624.4296875,33800.75390625,12125.052734375,8554.0068359375,0,0,0,4049.09985351562,3182.66943359375,1307.00854492188,NaN,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-A2,V256B-B2,V5120
406A05,451.210721057,0,0,0,-0.000163400437372729,-0.00576292604301898,0.000412619870928665,-0.00120289477627011,0,0,0,-0.00181031729090364,NaN,0.00194893250494488,-0.003104311576692,0,0,0,NaN,NaN,NaN,NaN,0,0,0,19.0111666666667,19.1638333333333,19.1106666666667,19.0163333333333,0,0,0,19.0278333333333,NaN,19.1273333333333,19.033,0,0,0,NaN,NaN,NaN,NaN,0,0,0,70913.4609375,1535.69384765625,19395.94140625,40712.828125,0,0,0,5409.02099609375,NaN,2396.37622070312,2987.31372070312,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-C2,V256B-H1,V5120
406A06,451.210721057,0,0,0,2.51606703614016e-05,0.00134013309059355,0.000242635667973445,-0.00125002649775752,0,0,0,0.00273090253540431,NaN,-0.00269179769350103,-0.00580820293362194,0,0,0,NaN,NaN,NaN,NaN,0,0,0,16.8801666666667,16.9871666666667,17.013,16.902,0,0,0,16.8968333333333,NaN,17.0296666666667,16.9186666666667,0,0,0,NaN,NaN,NaN,NaN,0,0,0,52300.78125,1618.24035644531,13037.3720703125,26582.013671875,0,0,0,3601.81591796875,NaN,1577.12744140625,1833.6513671875,0,0,0,NaN,NaN,NaN,NaN,,,,R320-A,V256A-F1,"V256B-A1,V256B-A2",V5120
