srcplate384	srcwell384	srcplate96	srcwell96	mass	destplate1	destwell1	destplate2	destwell2	destplate3	destwell3	destplate4	destwell4	destplate5	destwell5	destplate6	destwell6	destplate7	destwell7	destplate8	destwell8	destplate9	destwell9	destplate10	destwell10
CDIQ0005	L08	CDIV0008	F04	252.1263	V64A	L03	V64A	E08	V64A	A13	V64A	E17	V64B	G01	V64B	O01	V64B	N09	V64B	N11	V64B	N19	RL	1
CDIQ0005	N08	CDIV0008	G04	287.1270	V64A	C06	V64A	I10	V64A	P13	V64A	L17	V64A	G24	V64B	N04	V64B	O08	V64B	B16	V64B	K19	RN	1
CDIQ0005	P08	CDIV0008	H04	249.1365	V64A	C05	V64A	L06	V64A	E13	V64A	I19	V64B	C02	V64B	N01	V64B	L08	V64B	C16	V64B	B17	RP	1
CDIQ0005	A09	CDIV0005	A05	324.0110	V64A	D02	V64A	H09	V64A	G15	V64A	N20	V64A	O23	V64B	E03	V64B	D07	V64B	J13	V64B	M19	RA	1
CDIQ0005	C09	CDIV0005	B05	394.1893	V64A	L03	V64A	J06	V64A	O11	V64A	L19	V64A	C21	V64B	K06	V64B	G07	V64B	A14	V64B	E21	RC	1
CDIQ0005	E09	CDIV0005	C05	262.0776	V64A	D04	V64A	D08	V64A	D15	V64A	E17	V64A	N24	V64B	G05	V64B	F08	V64B	N16	V64B	F19	RE	1
CDIQ0005	G09	CDIV0005	D05	396.0685	V64A	A02	V64A	J08	V64A	F12	V64A	A17	V64A	P24	V64B	P02	V64B	I08	V64B	A15	V64B	H18	RG	1
CDIQ0005	I09	CDIV0005	E05	363.1237	V64A	C06	V64A	P08	V64A	H12	V64A	N20	V64A	D24	V64B	G06	V64B	J08	V64B	C15	V64B	G19	RI	1
CDIQ0005	K09	CDIV0005	F05	369.0535	V64A	M04	V64A	G10	V64A	M12	V64A	P19	V64B	C02	V64B	A03	V64B	P08	V64B	L12	V64B	E17	RK	1
CDIQ0005	M09	CDIV0005	G05	345.1132	V64A	J03	V64A	P10	V64A	M12	V64A	P18	V64A	K21	V64B	F04	V64B	A07	V64B	D14	V64B	O17	RM	1
CDIQ0005	O09	CDIV0005	H05	442.0963	V64A	F03	V64A	K07	V64A	N11	V64A	H18	V64A	E23	V64B	G05	V64B	D11	V64B	H14	V64B	F17	RO	1
CDIQ0005	B09	CDIV0007	A05	222.1117	V64A	A06	V64A	H10	V64A	A12	V64A	G17	V64B	A02	V64B	E05	V64B	G10	V64B	E13	V64B	E19	RB	1
CDIQ0005	D09	CDIV0007	B05	249.0637	V64A	O04	V64A	J06	V64A	K11	V64A	L15	V64A	P21	V64B	F05	V64B	E11	V64B	A15	V64B	D18	RD	1
CDIQ0005	F09	CDIV0007	C05	311.0521	V64A	J02	V64A	K08	V64A	J13	V64A	A19	V64A	M24	V64B	G06	V64B	F08	V64B	D14	V64B	F17	RF	1
CDIQ0005	H09	CDIV0007	D05	343.1208	V64A	D05	V64A	L10	V64A	D13	V64A	F18	V64A	O22	V64B	J01	V64B	G12	V64B	I15	V64B	I17	RH	1
CDIQ0005	J09	CDIV0007	E05	214.0397	V64A	G01	V64A	D09	V64A	E11	V64A	N20	V64A	C22	V64B	G05	V64B	E10	V64B	G16	V64B	J17	RJ	1
CDIQ0005	L09	CDIV0007	F05	302.1307	V64A	A01	V64A	J09	V64A	K11	V64A	F20	V64A	N21	V64B	L02	V64B	I07	V64B	C15	V64B	K18	RL	1
CDIQ0005	N09	CDIV0007	G05	328.1787	V64A	J01	V64A	J06	V64A	O14	V64A	K15	V64A	N23	V64B	L02	V64B	K09	V64B	J15	V64B	E17	RN	1
CDIQ0005	P09	CDIV0007	H05	266.1168	V64A	O01	V64A	L10	V64A	D15	V64A	D18	V64B	A02	V64B	L06	V64B	K09	V64B	N15	V64B	C19	RP	1
CDIQ0005	A10	CDIV0006	A05	351.1471	V64A	G02	V64A	C09	V64A	P11	V64A	G17	V64A	F23	V64B	E04	V64B	F08	V64B	B13	V64B	E17	RA	1
CDIQ0005	C10	CDIV0006	B05	295.1208	V64A	G01	V64A	E09	V64A	F14	V64A	B17	V64A	O23	V64B	D05	V64B	L07	V64B	A15	V64B	N18	RC	1
CDIQ0005	E10	CDIV0006	C05	350.1397	V64A	P04	V64A	I07	V64A	N13	V64A	E19	V64A	M23	V64B	E04	V64B	B12	V64B	N14	V64B	C18	RE	1
CDIQ0005	G10	CDIV0006	D05	364.1457	V64A	I04	V64A	B08	V64A	K13	V64A	A19	V64A	C23	V64B	J06	V64B	N08	V64B	L11	V64B	C22	RG	1
CDIQ0005	I10	CDIV0006	E05	456.0355	V64A	E04	V64A	I10	V64A	J11	V64A	H17	V64A	L23	V64B	B04	V64B	D11	V64B	J11	V64B	L17	RI	1
CDIQ0005	K10	CDIV0006	F05	209.0623	V64A	L04	V64A	N08	V64A	K12	V64A	D18	V64A	P21	V64B	P04	V64B	M08	V64B	M16	V64B	G19	RK	1
CDIQ0005	M10	CDIV0006	G05	222.0308	V64A	M02	V64A	E07	V64A	D15	V64A	D17	V64A	I23	V64B	E06	V64B	E08	V64B	A16	V64B	J20	RM	1
CDIQ0005	O10	CDIV0006	H05	178.0491	V64A	B03	V64A	H09	V64A	M11	V64A	J18	V64A	D24	V64B	L06	V64B	D07	V64B	F13	V64B	A22	RO	1
CDIQ0005	B10	CDIV0008	A05	291.0619	V64A	E05	V64A	D10	V64A	H11	V64A	K16	V64A	E24	V64B	P06	V64B	L10	V64B	K13	V64B	M20	RB	1
CDIQ0005	D10	CDIV0008	B05	355.9619	V64A	L04	V64A	M08	V64A	L13	V64A	H18	V64A	J24	V64B	B03	V64B	P08	V64B	P16	V64B	I19	RD	1
CDIQ0005	F10	CDIV0008	C05	369.9775	V64A	A06	V64A	D10	V64A	J14	V64A	O20	V64A	J21	V64B	M02	V64B	C09	V64B	B15	V64B	E19	RF	1
CDIQ0005	H10	CDIV0008	D05	322.0776	V64A	B04	V64A	L06	V64A	E14	V64A	C17	V64B	E01	V64B	N06	V64B	C09	V64B	L16	V64B	J19	RH	1
CDIQ0005	J10	CDIV0008	E05	350.0088	V64A	A06	V64A	O09	V64A	O14	V64A	B17	V64A	J24	V64B	A05	V64B	A10	V64B	I11	V64B	E20	RJ	1
CDIQ0005	L10	CDIV0008	F05	302.1089	V64A	A06	V64A	P06	V64A	G12	V64A	C19	V64A	A24	V64B	N04	V64B	A12	V64B	E14	V64B	G17	RL	1
CDIQ0005	N10	CDIV0008	G05	387.9881	V64A	B06	V64A	E07	V64A	B13	V64A	D19	V64A	P21	V64B	O02	V64B	F10	V64B	L12	V64B	C17	RN	1
CDIQ0005	P10	CDIV0008	H05	321.1590	V64A	A06	V64A	K08	V64A	A14	V64A	I20	V64A	N22	V64B	N03	V64B	E10	V64B	G15	V64B	O18	RP	1
CDIQ0005	A11	CDIV0005	A06	329.1627	V64A	N04	V64A	O08	V64A	C13	V64A	N19	V64A	L22	V64B	I04	V64B	A11	V64B	L15	V64B	A20	RA	1
